,accuracy,precision,recall,f1,accuracy_improvement_%,precision_improvement_%,recall_improvement_%,f1_improvement_%
Baseline,0.5188,0.52,0.52,0.5,0.0,0.0,0.0,0.0
Epoch 0,0.8734,0.8739,0.8734,0.8733,68.35,68.06,67.96,74.66
Epoch 1,0.9434,0.9434,0.9434,0.9434,81.84,81.42,81.42,88.68
Epoch 2,0.9698,0.9698,0.9698,0.9698,86.93,86.5,86.5,93.96
